Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/25/2026 02:14 pm,7440-39-3,Barium,0.0510,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7439-92-1,Lead,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 03:02 pm,7439-97-6,Mercury (Total),<0.00010,mg/L,,1,0.00010,SW-7470A,W6846
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/25/2026 02:14 pm,7782-49-2,Selenium,<0.0050,mg/L,,1,0.0050,SW-6010D,W6960
26-049-0003,TMW-5,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90160,Aqueous,02/17/2026 11:43 am,02/17/2026 05:02 pm,,02/24/2026 04:41 pm,7440-22-4,Silver,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/25/2026 02:19 pm,7440-39-3,Barium,0.240,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7439-92-1,Lead,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 03:03 pm,7439-97-6,Mercury (Total),<0.00010,mg/L,,1,0.00010,SW-7470A,W6846
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/25/2026 02:19 pm,7782-49-2,Selenium,<0.0050,mg/L,,1,0.0050,SW-6010D,W6960
26-049-0003,TMW-6,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90161,Aqueous,02/17/2026 10:18 am,02/17/2026 05:02 pm,,02/24/2026 04:38 pm,7440-22-4,Silver,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-38-2,Arsenic,<0.0040,mg/L,,1,0.0040,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/25/2026 02:24 pm,7440-39-3,Barium,0.0490,mg/L,,1,0.0040,SW-6010D,W6960
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-43-9,Cadmium,<0.0010,mg/L,,1,0.0010,SW-6010D,W6818
26-049-0003,DUP-2,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90162,Aqueous,02/17/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 04:34 pm,7440-47-3,Chromium,<0.0020,mg/L,,1,0.0020,SW-6010D,W6818
